energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,music_features,uri
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,string
,,,,,,,,,,,,class,meta
0.527,0.0823,75.004,0.0372,0.44,0.894,4.0,0.312,5.0,328000.0,-8.657,0.111,alexeifloyd-0HyomGh26ecF1V2tRQ4iIC,spotify:track:6Hl5X9cYlRRSEtENKNuTZI
0.262,0.117,179.186,0.0379,0.924,0.876,3.0,0.0811,8.0,328000.0,-12.255,0.0431,alexeifloyd-0HyomGh26ecF1V2tRQ4iIC,spotify:track:1dmRorGH4PZK2SNVLqPJR2
0.439,0.0829,99.973,0.0284,0.0968,0.345,3.0,0.36,8.0,309600.0,-9.772,0.0374,alexeifloyd-0HyomGh26ecF1V2tRQ4iIC,spotify:track:147dMz2uR9wMNHJQAGthdo
0.511,0.0819,125.016,0.0305,0.0134,0.0452,4.0,0.463,8.0,300840.0,-8.346,0.214,alexeifloyd-0HyomGh26ecF1V2tRQ4iIC,spotify:track:4B55Vz8l4a7zqcfrJQcLY1
0.43,0.0965,151.949,0.0345,0.747,0.836,3.0,0.161,8.0,415013.0,-10.161,0.0443,alexeifloyd-0HyomGh26ecF1V2tRQ4iIC,spotify:track:7qmNq3ADGfDwQMfhUrRCVX
0.412,0.107,138.009,0.0335,0.705,0.848,3.0,0.174,9.0,256487.0,-8.849,0.0458,alexeifloyd-0HyomGh26ecF1V2tRQ4iIC,spotify:track:5UMnFL13wTpTblRMq7unXX
0.266,0.132,71.821,0.0347,0.749,0.88,3.0,0.161,8.0,312920.0,-13.725,0.0359,alexeifloyd-0HyomGh26ecF1V2tRQ4iIC,spotify:track:1bk2I7ObXc1cDRVIrK8N6m
0.618,0.155,134.843,0.0347,0.00175,0.715,3.0,0.243,10.0,260533.0,-6.602,0.0808,alexeifloyd-0HyomGh26ecF1V2tRQ4iIC,spotify:track:5puW7cuNCpfK9DSEjNizqF
