added_at,track/album/type,track/duration_ms,track/popularity,track/explicit,playlist,track/album/name,track/artists/0/name,track/name,track/uri
time,discrete,continuous,continuous,discrete,discrete,string,string,string,string
,,,,,class,meta,meta,meta,meta
2018-06-07 21:48:24,album,328000.0,38.0,false,playlist_1,Legacy (Soulsborne Remixed),Alex Roe,"All For One (From ""Dark Souls III"") [Abyss Watchers]",spotify:track:6Hl5X9cYlRRSEtENKNuTZI
2018-06-07 21:48:31,album,328000.0,28.0,false,playlist_1,Legacy (Soulsborne Remixed),Alex Roe,"Epitaph for Boletaria (From ""Demon's Souls"") [Maiden in Black]",spotify:track:1dmRorGH4PZK2SNVLqPJR2
2018-06-07 21:48:37,album,309600.0,27.0,false,playlist_1,Legacy (Soulsborne Remixed),Alex Roe,"Undone by the Blood (From ""Bloodborne"") [The First Hunter]",spotify:track:147dMz2uR9wMNHJQAGthdo
2018-06-07 21:48:42,album,300840.0,33.0,false,playlist_1,Legacy (Soulsborne Remixed),Alex Roe,"E.S. Gwyn (From ""Dark Souls"") [Gwyn, Lord of Cinder]",spotify:track:4B55Vz8l4a7zqcfrJQcLY1
2018-06-07 21:48:50,album,415013.0,28.0,false,playlist_1,Legacy (Soulsborne Remixed),Alex Roe,"The Profaned Vanguard (From ""Dark Souls III"") [Yhorm The Giant]",spotify:track:7qmNq3ADGfDwQMfhUrRCVX
2018-06-07 21:48:58,album,256486.0,28.0,false,playlist_1,Legacy (Soulsborne Remixed),Alex Roe,"Moonlit Beast (From ""Bloodborne"" & ""King's Field IV"") [Cleric Beast & Dark Reality]",spotify:track:5UMnFL13wTpTblRMq7unXX
2018-06-07 21:49:04,album,312920.0,27.0,false,playlist_1,Legacy (Soulsborne Remixed),Alex Roe,"The Fall of Artorias (From ""Dark Souls"") [Knight Artorias]",spotify:track:1bk2I7ObXc1cDRVIrK8N6m
2018-06-07 21:49:12,album,260533.0,32.0,false,playlist_1,Legacy (Soulsborne Remixed),Alex Roe,"E.S. Cinder (From ""Dark Souls III"") [Soul of Cinder]",spotify:track:5puW7cuNCpfK9DSEjNizqF
2018-06-07 21:49:21,album,274247.0,31.0,false,playlist_1,Legacy (Soulsborne Remixed),Alex Roe,"Gehrman and Maria (From ""Bloodborne"") [Lady Maria of the Astral Clocktower]",spotify:track:1SXUPLaRGhUYo8U0DRIAob
2018-06-07 21:49:30,album,347666.0,23.0,false,playlist_1,Legacy (Soulsborne Remixed),Alex Roe,"Kindle the Soul (From ""Dark Souls"") [Firelink Shrine]",spotify:track:6bkxVVqVNNBcqRENUB6DNR
2018-06-07 21:49:37,album,259200.0,31.0,false,playlist_1,Legacy (Soulsborne Remixed),Alex Roe,"The Curse That Binds Us (From ""Dark Souls III"") [Lorian, Elder Prince & Lothric, Younger Prince]",spotify:track:36Gg5h3RmnM9hoEfDiK2mz
2018-06-07 21:49:46,album,254893.0,25.0,false,playlist_1,Legacy (Soulsborne Remixed),Alex Roe,"Knight and Executioner (From ""Dark Souls"") [Ornstein and Smough]",spotify:track:55MaqzbjL8zwwvtTh4BAvq
2018-06-07 21:50:08,album,290213.0,28.0,false,playlist_1,Legacy (Soulsborne Remixed),Alex Roe,"I Had A Name (From ""Dark Souls"") [Nameless Song]",spotify:track:6bkqK0y1slwJjZNJdLBq3J
2018-06-07 21:50:16,album,227586.0,33.0,false,playlist_1,Legacy (Soulsborne Remixed),Alex Roe,"Uncle Gael (From ""Dark Souls III"") [Slave Knight Gael]",spotify:track:7qmBSj4yLxGIRuXcy4rSD9
2018-06-07 21:50:23,album,714360.0,26.0,false,playlist_1,Legacy (Soulsborne Remixed),Alex Roe,"Journey's End (From ""Dark Souls III"") [Epilogue]",spotify:track:7gHPjCVunROeKWcsuxivDN
2018-06-07 21:55:53,album,260533.0,29.0,false,playlist_1,Legacy (Soulsborne Remixed),Alex Roe,"E.S. Cinder 'Orchestra' (From ""Dark Souls III"") [Soul of Cinder]",spotify:track:4Qiz2yv7NbSLDxQvG9Rup0
2018-06-07 21:55:57,album,289066.0,25.0,false,playlist_1,Legacy (Soulsborne Remixed),Alex Roe,"Kodoku (From ""Dark Souls II"") [Sir Alonne]",spotify:track:61kVYlz4yz8uuVT1JpLvH5
