energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.527,0.0823,75.004,0.0372,0.44,0.894,4,0.312,5,328000,-8.657,0.111,0,audio_features,spotify:track:6Hl5X9cYlRRSEtENKNuTZI
0.262,0.117,179.186,0.0379,0.924,0.876,3,0.0811,8,328000,-12.255,0.0431,0,audio_features,spotify:track:1dmRorGH4PZK2SNVLqPJR2
0.439,0.0829,99.973,0.0284,0.0968,0.345,3,0.36,8,309600,-9.772,0.0374,1,audio_features,spotify:track:147dMz2uR9wMNHJQAGthdo
0.511,0.0819,125.016,0.0305,0.0134,0.0452,4,0.463,8,300840,-8.346,0.214,0,audio_features,spotify:track:4B55Vz8l4a7zqcfrJQcLY1
0.43,0.0965,151.949,0.0345,0.747,0.836,3,0.161,8,415013,-10.161,0.0443,1,audio_features,spotify:track:7qmNq3ADGfDwQMfhUrRCVX
0.412,0.107,138.009,0.0335,0.705,0.848,3,0.174,9,256487,-8.849,0.0458,1,audio_features,spotify:track:5UMnFL13wTpTblRMq7unXX
0.266,0.132,71.821,0.0347,0.749,0.88,3,0.161,8,312920,-13.725,0.0359,1,audio_features,spotify:track:1bk2I7ObXc1cDRVIrK8N6m
0.618,0.155,134.843,0.0347,0.00175,0.715,3,0.243,10,260533,-6.602,0.0808,0,audio_features,spotify:track:5puW7cuNCpfK9DSEjNizqF
0.398,0.0935,72.046,0.0325,0.741,0.944,4,0.145,3,274247,-10.641,0.0382,0,audio_features,spotify:track:1SXUPLaRGhUYo8U0DRIAob
0.345,0.117,112.039,0.0285,0.0314,0.914,4,0.555,1,347667,-14.037,0.202,1,audio_features,spotify:track:6bkxVVqVNNBcqRENUB6DNR
0.684,0.0795,75.051,0.0385,0.21,0.921,4,0.0973,11,259200,-7.982,0.217,1,audio_features,spotify:track:36Gg5h3RmnM9hoEfDiK2mz
0.583,0.122,144.95,0.035,0.532,0.905,4,0.391,1,254893,-10.55,0.144,1,audio_features,spotify:track:55MaqzbjL8zwwvtTh4BAvq
0.298,0.0942,74.279,0.038,0.6,0.721,3,0.127,6,290213,-11.764,0.0362,1,audio_features,spotify:track:6bkqK0y1slwJjZNJdLBq3J
0.804,0.131,110.003,0.0575,0.417,0.427,3,0.36,10,227587,-7.681,0.194,0,audio_features,spotify:track:7qmBSj4yLxGIRuXcy4rSD9
0.549,0.0911,176.413,0.0389,0.683,0.705,3,0.0847,10,714360,-9.498,0.0548,0,audio_features,spotify:track:7gHPjCVunROeKWcsuxivDN
0.623,0.154,135.04,0.0376,0.347,0.911,3,0.257,10,260533,-7.07,0.129,0,audio_features,spotify:track:4Qiz2yv7NbSLDxQvG9Rup0
0.715,0.155,79.197,0.0549,0.323,0.603,4,0.149,8,289067,-9.351,0.212,0,audio_features,spotify:track:61kVYlz4yz8uuVT1JpLvH5
0.712,0.103,99.988,0.0458,0.00185,0.226,4,0.133,1,283800,-7.952,0.167,0,audio_features,spotify:track:7oTzZMVJQs5oejHEfk9CAT
