energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.139,0.133,88.727,0.045,0.988,0.00265,4,0.536,5,178667,-14.815,0.34,1,audio_features,spotify:track:5BQLFGCDxrMklI70r1JjJ9
0.16,0.145,141.407,0.0411,0.88,3.18e-06,4,0.421,1,182787,-12.614,0.232,1,audio_features,spotify:track:4UijURYBXtsAQ3Qte9P3z7
0.121,0.106,130.172,0.0536,0.988,0.0574,4,0.567,5,192173,-14.665,0.417,1,audio_features,spotify:track:1antLybQoWgahvRksuGmMc
0.412,0.106,76.632,0.199,0.865,0.0107,4,0.733,5,183467,-5.828,0.638,0,audio_features,spotify:track:17K0nITjaXnyWXBB0pxmvU
0.0585,0.112,91.395,0.0354,0.993,0.022,4,0.515,5,187520,-17.397,0.146,1,audio_features,spotify:track:17zojUZck6m8N5hXtgLtiP
0.109,0.136,89.211,0.054,0.994,0.859,4,0.606,8,185600,-16.841,0.585,1,audio_features,spotify:track:23QgV9Tz2jiQtVyNLbOqy1
0.683,0.278,187.441,0.242,0.742,0.00529,4,0.549,3,144117,-8.898,0.902,0,audio_features,spotify:track:1jltATYx5GJIesje62qdw4
0.198,0.0776,107.081,0.0366,0.978,0.0,4,0.688,3,174823,-12.945,0.555,1,audio_features,spotify:track:2Mqggm27ZkH3EyscmCDnIg
0.463,0.114,104.544,0.0374,0.479,0.0,4,0.557,0,147173,-7.867,0.536,0,audio_features,spotify:track:3RVlXSaYyd1JOyXPbnE9IV
0.101,0.0964,82.442,0.0351,0.956,0.000149,4,0.232,0,180040,-16.178,0.214,1,audio_features,spotify:track:0ZXDLrn7oIc06JFwvJLy1y
0.278,0.276,92.995,0.0343,0.979,4.74e-05,3,0.655,5,133120,-12.914,0.859,0,audio_features,spotify:track:4hmKe6YigInvKIPFd1xT03
0.264,0.132,156.056,0.0518,0.879,0.0,4,0.64,10,188440,-10.144,0.777,1,audio_features,spotify:track:0oulhgKMk5RUADidNicdky
0.182,0.0732,204.163,0.069,0.891,0.000429,3,0.404,1,115696,-13.295,0.842,1,audio_features,spotify:track:7DKjnQH7yeCUPXX88Hh12p
0.491,0.146,121.324,0.0414,0.906,0.92,4,0.605,5,158840,-15.808,0.75,1,audio_features,spotify:track:4rwcwWufNLwNDU7VmyuRr7
0.368,0.122,105.224,0.0451,0.36,0.902,4,0.753,0,84600,-13.467,0.542,0,audio_features,spotify:track:4LMWjZNjgo9baLaP3BBTSU
0.43,0.0877,113.466,0.0793,0.938,0.954,4,0.789,0,74907,-14.325,0.864,0,audio_features,spotify:track:0KahNDvAi7wI7DI8kgSFq4
0.287,0.0979,143.995,0.0345,0.925,0.000153,3,0.443,1,235493,-11.406,0.388,1,audio_features,spotify:track:6SzIPSGLLBKUTdBwEPQCPa
0.373,0.116,144.591,0.027,0.909,4.35e-06,4,0.692,10,146080,-12.201,0.782,1,audio_features,spotify:track:1wK9cRMY8HBmRLiNm72MBG
0.156,0.105,113.96,0.0329,0.532,0.0,4,0.644,1,171427,-16.529,0.744,1,audio_features,spotify:track:5RLzsVW6UNiV2YrOlKwzNN
0.557,0.0861,171.617,0.069,0.498,1.22e-05,4,0.621,5,177760,-12.68,0.803,1,audio_features,spotify:track:4ELT0zRdJTOCUbx90ozKAQ
0.229,0.125,122.789,0.0309,0.802,0.0,4,0.552,9,184107,-12.242,0.442,1,audio_features,spotify:track:4UtDrwAkSbrZgAUQSWKcti
0.0748,0.334,78.99,0.0368,0.979,0.00137,4,0.302,7,130357,-22.072,0.228,0,audio_features,spotify:track:6sbZNeGOLDz7WqLk0Nd51J
0.203,0.167,108.137,0.0272,0.853,0.0515,4,0.491,3,173035,-11.366,0.436,1,audio_features,spotify:track:2qNJc0MstfUO9KmRC8Buqe
0.289,0.0546,93.875,0.036,0.972,0.000671,4,0.701,5,199573,-8.592,0.818,1,audio_features,spotify:track:64QH2HnABZEbCbbnTifAuu
0.474,0.258,116.027,0.0491,0.803,0.0,4,0.726,1,235733,-7.834,0.57,0,audio_features,spotify:track:0AQquaENerGps8BQmbPw14
