energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.96,0.0895,128.014,0.0903,4.09e-05,1.02e-05,4,0.566,4,213200,-3.461,0.332,0,audio_features,spotify:track:3TFR31VqGhaigtqa71obFU
0.95,0.154,102.471,0.044,4.65e-05,2.27e-06,4,0.561,4,271427,-3.491,0.573,0,audio_features,spotify:track:4hSq2xpzXIt76mqkeZyJ51
0.857,0.108,110.002,0.0521,0.000248,0.27,3,0.305,8,289293,-8.798,0.288,0,audio_features,spotify:track:6VOedCscnE4tdhcYdXSlTO
0.984,0.116,104.98,0.161,1.95e-05,0.00964,4,0.49,2,270973,-4.797,0.308,1,audio_features,spotify:track:0bAaHQZwmCqN1WdJ0JOx3v
0.953,0.279,80.007,0.0906,0.000594,0.0221,4,0.472,2,264750,-6.674,0.224,0,audio_features,spotify:track:1SruLf1FO8Aihdgfhgxyr9
0.717,0.28,114.853,0.0358,0.000832,0.00155,4,0.307,4,184339,-6.065,0.253,0,audio_features,spotify:track:7erKiIGEthLns1Rru5eUM7
0.964,0.371,200.057,0.0661,0.097,0.0023,4,0.347,8,189884,-7.494,0.427,1,audio_features,spotify:track:3OqPtReNHY41I7i7dB2CQw
0.933,0.987,116.015,0.0674,2.36e-05,5.1e-06,4,0.451,9,243078,-4.023,0.163,0,audio_features,spotify:track:2MrnkdS2RwSutVKjvZR2Hy
0.913,0.106,158.043,0.199,0.000748,5.22e-05,4,0.544,2,198333,-5.821,0.303,1,audio_features,spotify:track:6R6LRYspB9ZgoqI477qodC
0.625,0.0651,110.035,0.0384,0.151,0.0,4,0.612,7,243000,-7.883,0.62,1,audio_features,spotify:track:763XAquQO0XuyxXIpAFXx8
0.984,0.218,195.94,0.0639,8.95e-05,0.000553,4,0.321,6,282880,-4.878,0.346,0,audio_features,spotify:track:7cjWbmQVieGLW5AbPmPqRj
0.956,0.304,110.071,0.087,0.0252,1.96e-05,4,0.447,2,296727,-4.963,0.309,0,audio_features,spotify:track:4Y3HH8O5E5GEgUGNkyCki8
0.872,0.151,172.143,0.0648,7.12e-05,0.0,4,0.369,4,203800,-5.133,0.374,0,audio_features,spotify:track:3oGBi4YADwMYDtnRfYurnz
0.973,0.0915,105.033,0.0877,4.6e-05,0.371,4,0.455,2,220947,-3.044,0.117,1,audio_features,spotify:track:33Ct5Zed8tY34RQgSqJ0W3
0.973,0.306,105.058,0.0738,3.26e-05,0.0137,1,0.466,7,193341,-5.719,0.387,1,audio_features,spotify:track:0k1gQoK6iY8fjjKwjJFJDv
0.934,0.198,169.979,0.0461,0.000309,0.000215,4,0.431,5,300353,-5.571,0.454,1,audio_features,spotify:track:4109L3zneLt0H0kFKJh8SN
0.953,0.313,166.972,0.134,7.95e-05,0.0641,4,0.36,9,276613,-4.822,0.297,1,audio_features,spotify:track:0C5CYs6wSlgsA3sLhfnEDE
0.963,0.298,95.028,0.0733,8.44e-05,0.0,4,0.438,5,188612,-4.661,0.496,1,audio_features,spotify:track:702RIi4yMVM9rMotutuAOe
0.609,0.363,83.923,0.029,0.0133,0.815,4,0.375,3,340387,-7.372,0.124,1,audio_features,spotify:track:56VA5Z9K4Obski8lhzjIGc
0.923,0.363,163.994,0.101,0.00112,5.47e-06,4,0.375,8,212255,-4.441,0.504,1,audio_features,spotify:track:08UJUYlF9JnpBXtvXQ5tEF
0.987,0.137,129.992,0.128,2.46e-06,0.935,4,0.487,11,255843,-4.409,0.299,0,audio_features,spotify:track:45kItlfEVo4tpAZbeHibUc
0.896,0.943,99.994,0.0468,1.85e-05,0.792,4,0.489,7,250749,-7.28,0.225,1,audio_features,spotify:track:49bHhGdscOzXRPqDnldDX6
0.953,0.297,169.954,0.0602,1.09e-05,0.239,4,0.415,0,177280,-4.478,0.345,1,audio_features,spotify:track:1zfQ4iu95Fq216nyiwcJLk
0.979,0.302,94.972,0.214,0.000685,0.0,4,0.402,5,210947,-3.971,0.155,1,audio_features,spotify:track:4EZuqgHFBThQHeuyL5MeKW
0.957,0.125,149.963,0.157,0.000372,0.11,4,0.444,11,360800,-6.505,0.223,0,audio_features,spotify:track:3fsWHLlp3D9CzZv6YUo3pv
0.818,0.632,80.006,0.0828,0.0225,0.0,4,0.493,9,240929,-8.49,0.597,1,audio_features,spotify:track:5sBAAFThJrdWpTU4o9EdXh
0.932,0.203,130.05,0.0845,7.7e-05,0.106,4,0.529,10,251760,-5.54,0.237,0,audio_features,spotify:track:7vh5WK78hqQU2mSq9jeGUT
0.946,0.0804,159.995,0.078,7.78e-05,0.0352,4,0.37,9,299766,-4.944,0.206,0,audio_features,spotify:track:71E4oAn3RYFzqZzVwMze6a
0.9,0.134,155.043,0.0562,7.16e-06,0.12,4,0.398,0,306354,-6.468,0.249,1,audio_features,spotify:track:3CTjgRwbCiiMztx5Ej1Fhx
0.991,0.0542,191.021,0.098,0.0735,2.25e-05,4,0.341,6,247283,-2.089,0.0773,1,audio_features,spotify:track:2lG3gNqYxGn5laTxyO7hmL
