energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.732,0.118,140.005,0.0489,0.0169,0.788,4,0.562,6,570978,-5.896,0.074,0,audio_features,spotify:track:6dsXvwPAOCcsrcAiw4R9pL
0.853,0.0655,138.033,0.053,0.000518,0.56,4,0.642,7,368696,-5.796,0.47,1,audio_features,spotify:track:2qgNqIjzL6gMhrEoMx0ZGo
0.959,0.0805,140.018,0.0522,0.00687,0.889,4,0.578,1,473143,-6.605,0.373,1,audio_features,spotify:track:412ck4hZ5Db7Dw2AhLY4W7
0.963,0.22,144.994,0.0509,8.14e-05,0.815,4,0.512,8,450207,-4.078,0.153,1,audio_features,spotify:track:7CRMavjrfUFzj4ijaMQMDN
0.947,0.0963,140.026,0.0728,0.00094,0.713,4,0.359,0,375429,-5.992,0.219,1,audio_features,spotify:track:5F6VelV7Z0tGxoM7XnIW1V
0.985,0.102,137.988,0.133,0.00417,0.634,4,0.316,1,351304,-2.833,0.0706,1,audio_features,spotify:track:0fvPtc4jtiEA9c8ziSodis
0.95,0.042,140.023,0.058,5.51e-05,0.411,4,0.494,6,216000,-6.189,0.332,0,audio_features,spotify:track:6U7NyrceGHLVBqIeNhEMoa
0.934,0.16,139.992,0.0473,0.000132,0.892,4,0.644,0,358286,-6.094,0.0733,1,audio_features,spotify:track:0h71aKl9JbJ29pORN9tYws
0.986,0.679,145.009,0.0582,0.001,0.833,4,0.581,9,536276,-5.193,0.107,1,audio_features,spotify:track:4CI0VQ3Z8DCcT1SdifC9hD
0.91,0.331,141.999,0.0711,0.000541,0.865,4,0.611,11,417465,-5.686,0.263,1,audio_features,spotify:track:6BEvD21U81t0LZVm9Pgtzm
0.99,0.155,103.387,0.137,0.00339,0.462,3,0.327,1,203913,-3.354,0.0733,0,audio_features,spotify:track:2TmCyjZ1MpF6pW5Twi79Ee
0.852,0.59,137.991,0.0572,0.00577,0.85,4,0.684,5,556629,-7.328,0.179,1,audio_features,spotify:track:3j41oMxuWlmLLDGdIsi8ZF
0.938,0.601,140.03,0.0537,0.000326,0.749,4,0.667,6,452786,-5.961,0.428,0,audio_features,spotify:track:3coSfiGYq1SFDVVdUGs4Eu
