energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.377,0.114,83.088,0.0686,0.904,0.0701,4,0.668,8,215240,-8.85,0.78,1,audio_features,spotify:track:2hHivyDLD7j0wbSAzhavzU
0.208,0.103,78.863,0.0312,0.98,0.713,4,0.299,3,202653,-11.524,0.123,1,audio_features,spotify:track:7nzvpNXDLxoArj8a45NeE5
0.128,0.162,80.276,0.0399,0.758,0.864,5,0.41,5,199236,-15.336,0.306,1,audio_features,spotify:track:5nwvPNseMVpJpM2GyWRMWp
0.211,0.25,75.404,0.0332,0.712,0.948,4,0.239,9,132650,-12.285,0.385,1,audio_features,spotify:track:52rZONkBHDPrpfZAboPILh
0.206,0.187,74.679,0.0332,0.752,0.632,3,0.318,1,181159,-12.853,0.347,1,audio_features,spotify:track:63IEteJp04frXPSvSgeH2p
0.311,0.346,113.622,0.0355,0.945,0.754,4,0.67,6,187968,-15.06,0.903,1,audio_features,spotify:track:3OVO9heIaXBhNzH03oXqgS
0.282,0.0829,164.044,0.0602,0.97,0.898,4,0.597,8,219832,-17.433,0.758,1,audio_features,spotify:track:2SkTXkFpM6AnunYEArAmNQ
0.217,0.159,149.17,0.0521,0.992,0.834,4,0.493,10,184051,-12.338,0.761,1,audio_features,spotify:track:3X3KKRYS6O5tl5GMxcAxwy
0.488,0.373,78.221,0.126,0.987,0.375,4,0.788,10,171831,-12.619,0.856,1,audio_features,spotify:track:5egpHeY8NXST4xSVRseGEY
0.345,0.09,128.736,0.0493,0.771,0.79,4,0.636,5,199972,-9.879,0.697,1,audio_features,spotify:track:5ff4DvfwMUQUeHqwdrDNWs
0.0432,0.17,71.872,0.0295,0.993,0.763,3,0.359,0,188448,-20.198,0.122,1,audio_features,spotify:track:1Ht8uVaENiE92U5E2EKVCq
0.348,0.238,173.919,0.041,0.932,0.0161,3,0.21,0,188517,-13.394,0.441,0,audio_features,spotify:track:0sf8kSavRUsM02Tsh3QoLU
0.253,0.127,66.113,0.0337,0.97,0.914,4,0.436,11,173825,-12.692,0.239,1,audio_features,spotify:track:06nZ05gHI6l37t1m2x5xSi
0.296,0.504,110.381,0.0349,0.957,0.861,4,0.5,10,209777,-18.018,0.661,1,audio_features,spotify:track:0ZbirXn6fw3wKKZgHYryBw
0.218,0.109,71.593,0.0436,0.991,0.884,5,0.169,2,193930,-15.581,0.116,1,audio_features,spotify:track:0KmCcVQAjXKwVX0KVtofVY
0.102,0.145,99.996,0.043,0.993,0.816,4,0.783,5,167048,-16.286,0.637,1,audio_features,spotify:track:7r48smDFwGiItH69wSAWfO
0.307,0.095,84.088,0.0295,0.944,0.91,4,0.35,5,216567,-10.375,0.49,1,audio_features,spotify:track:25HORp6j7iGU7KuDhC1p1X
0.116,0.179,69.907,0.0382,0.994,0.282,4,0.533,8,241666,-13.136,0.28,1,audio_features,spotify:track:7BHqtR1WWUGxb1wUpRkhBL
0.259,0.119,162.384,0.0861,0.613,0.896,4,0.473,5,227850,-15.533,0.537,0,audio_features,spotify:track:3I32tqwWWaPECGJL9kB1rk
0.218,0.0882,83.145,0.0357,0.957,0.921,4,0.421,5,196091,-11.692,0.25,1,audio_features,spotify:track:5MvBAmZWoYFScTtfKLXWXr
0.281,0.173,163.034,0.039,0.977,0.817,4,0.324,7,205206,-14.225,0.508,0,audio_features,spotify:track:07O7rQyG85xOFvZuIVe9qi
0.385,0.141,144.18,0.0701,0.984,0.661,4,0.56,0,133278,-9.477,0.632,1,audio_features,spotify:track:1HWxaAFrcbSRz6StirODbI
0.301,0.105,107.546,0.0309,0.974,0.891,4,0.287,7,187420,-10.319,0.13,0,audio_features,spotify:track:3ya8YfWhfAR9CMeu1xOcHl
0.103,0.111,153.787,0.0634,0.993,0.011,4,0.689,10,174936,-12.931,0.723,1,audio_features,spotify:track:5vDUVcwy2PxoTjKqvwaBg7
0.0358,0.111,162.204,0.214,0.994,0.8,3,0.499,8,205781,-21.486,0.42,1,audio_features,spotify:track:34uoe5BK2hcHQLeo5wZtj4
0.338,0.128,201.455,0.0404,0.974,0.605,4,0.552,0,171175,-12.66,0.939,1,audio_features,spotify:track:0K3ubDmwuWdZXdmAaEj4Dm
0.453,0.599,98.46,0.232,0.935,0.838,4,0.673,0,137196,-11.407,0.713,1,audio_features,spotify:track:6M9i4FGBYqPvksxA7bb8A8
0.372,0.212,130.558,0.042,0.972,0.355,4,0.667,7,159892,-11.736,0.955,1,audio_features,spotify:track:3tOtWKuh2s76HanvPKADGf
