energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.48,0.153,77.002,0.0262,0.682,9.89e-06,4,0.646,2,251867,-7.219,0.483,0,audio_features,spotify:track:4QUHJVXhwt14EzC0zOGa2I
0.836,0.91,173.016,0.0276,0.0587,0.0,4,0.437,8,254187,-4.685,0.723,1,audio_features,spotify:track:1sfZhSQY9CLtvKi1H6wqCO
0.54,0.179,129.171,0.0347,0.0339,0.00248,4,0.557,9,185733,-10.484,0.394,1,audio_features,spotify:track:45yEy5WJywhJ3sDI28ajTm
0.702,0.239,109.114,0.032,0.0974,3.46e-05,4,0.726,7,216813,-10.757,0.931,1,audio_features,spotify:track:57n1teNb2tkcfiYagPmUWr
0.319,0.175,119.637,0.0375,0.689,1.4e-06,4,0.415,4,254893,-13.235,0.23,0,audio_features,spotify:track:5d3cU8s9DEr8mGheRYRuIR
0.826,0.324,118.679,0.0851,0.182,0.00352,4,0.481,1,394267,-6.974,0.819,0,audio_features,spotify:track:373zqV0VLz9mnrSaY9kaiX
0.379,0.106,99.142,0.0257,0.743,0.00161,4,0.564,2,279600,-7.225,0.177,1,audio_features,spotify:track:5cevh91ATYBb4TXkvYiUm0
0.264,0.132,119.93,0.0322,0.922,0.0,4,0.422,8,269560,-7.064,0.331,1,audio_features,spotify:track:3U4isOIWM3VvDubwSI3y7a
0.262,0.116,122.299,0.032,0.858,5.13e-05,3,0.583,4,268640,-12.139,0.333,1,audio_features,spotify:track:2VJOJBlHlSzdsf1uBpReKe
0.518,0.0818,78.743,0.027,0.513,0.00327,4,0.333,10,158960,-12.005,0.296,1,audio_features,spotify:track:2eYthTSnYAOo8dKn7IOp7a
0.325,0.0691,60.843,0.0339,0.809,1.57e-06,4,0.339,5,268608,-12.017,0.204,1,audio_features,spotify:track:2r9W7Sap0COF2sNV409ISA
0.686,0.0926,184.083,0.0272,0.00288,0.0,4,0.365,0,200200,-6.127,0.331,1,audio_features,spotify:track:71iogkuXi7nAfFbqMGDTri
0.386,0.207,91.615,0.0388,0.837,0.0,4,0.485,2,343813,-9.189,0.354,1,audio_features,spotify:track:1EQ8sBQ7Abv9DvNBzhXAcv
0.288,0.106,134.127,0.0278,0.717,4.81e-06,4,0.576,11,276307,-11.695,0.188,1,audio_features,spotify:track:0FHLdyKjddlKEvRpvFKaNV
0.477,0.118,159.001,0.037,0.00411,0.000334,3,0.314,8,175440,-7.523,0.441,1,audio_features,spotify:track:48aum3DqFk35mK59Ji9h5z
0.417,0.135,130.032,0.0354,0.296,0.0,4,0.623,0,191360,-8.699,0.721,1,audio_features,spotify:track:0IktbUcnAGrvD03AWnz3Q8
