energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.903,0.133,193.915,0.0972,0.000125,0.497,4,0.252,0,427320,-6.297,0.182,0,audio_features,spotify:track:12NwYmQT1Mm7gkrCjIuq0d
0.779,0.135,123.971,0.0419,0.00644,0.000174,4,0.515,4,256000,-5.904,0.072,0,audio_features,spotify:track:7mx4a5ffaLohgtRdLS57RE
0.525,0.218,82.473,0.0349,0.000102,0.0721,4,0.527,10,250182,-11.925,0.336,0,audio_features,spotify:track:7tdvDVIsMhnCnNVgUIPySq
0.902,0.273,75.884,0.0501,0.00895,0.000668,4,0.439,6,275147,-3.904,0.563,0,audio_features,spotify:track:5s5c2hMadLfWU51ARzHaFD
0.788,0.2,156.045,0.0633,0.0158,0.000404,3,0.469,4,353240,-7.089,0.217,0,audio_features,spotify:track:5CnRlqZdzdcKPIxFRAnFpP
0.902,0.325,177.012,0.0796,5.05e-05,0.0695,4,0.394,2,249000,-6.971,0.219,0,audio_features,spotify:track:2xmhMWNdMtu4pNzLgZVKb1
0.881,0.0852,124.984,0.0478,0.000102,0.0114,3,0.549,0,449120,-4.739,0.286,0,audio_features,spotify:track:0q7XIS0F51wfERHZuxD1wI
0.846,0.153,90.086,0.043,9e-06,0.23,4,0.436,10,251000,-7.007,0.167,0,audio_features,spotify:track:1K8ACFR9Y5EN8QwuC6flTU
0.826,0.327,149.999,0.0533,0.000581,0.00243,4,0.446,2,258000,-8.157,0.376,1,audio_features,spotify:track:6ebAzeEAZvWJiRoUjB40Ro
0.742,0.313,189.494,0.0445,0.000262,0.029,3,0.209,9,425588,-6.883,0.377,0,audio_features,spotify:track:5qxB7mOCMIWc4yGbWq8nfn
0.743,0.103,127.809,0.0515,0.0343,0.00187,4,0.538,4,231347,-5.928,0.316,0,audio_features,spotify:track:1tBxs9BqNlBXbIxVaCBrv5
0.961,0.327,149.954,0.0674,0.00183,7.33e-06,4,0.473,6,241747,-4.652,0.421,0,audio_features,spotify:track:6rLASbKbKCPQjB5WrkOpCx
0.81,0.331,99.984,0.104,0.0029,0.0156,4,0.495,1,261735,-5.608,0.388,1,audio_features,spotify:track:5FWJgb9sESNmV5LQyQftL8
0.919,0.129,130.045,0.08,0.000117,0.00414,4,0.459,6,263000,-7.657,0.303,1,audio_features,spotify:track:7savip0vr5Qgd2gaIMXNqO
0.91,0.145,130.033,0.0391,0.000178,0.00036,4,0.533,0,231462,-7.695,0.46,0,audio_features,spotify:track:66AkYibFf7JMBpz0AZ9kSQ
0.929,0.389,137.868,0.0638,0.00094,0.000248,4,0.558,2,202307,-3.618,0.502,1,audio_features,spotify:track:78mjaBatbfvwx5KJwI036H
0.919,0.123,102.005,0.0778,0.000517,0.144,3,0.538,7,241853,-4.994,0.246,1,audio_features,spotify:track:0onl8BhnRB81FjPaCU8vVI
0.98,0.328,89.967,0.0879,4.21e-06,0.0186,4,0.451,7,205627,-3.734,0.303,1,audio_features,spotify:track:3DypApeEr6V617nb37He9F
0.92,0.0496,162.032,0.114,0.00479,0.004,4,0.426,10,282947,-3.64,0.387,1,audio_features,spotify:track:6StJFYvHV4s5D4OMZ7TfMn
0.911,0.369,183.974,0.056,4.28e-05,0.0,3,0.315,0,193880,-4.136,0.38,0,audio_features,spotify:track:071qZ9lL7h6ULW1WNgQjE3
0.965,0.342,100.058,0.0677,0.000148,0.000884,4,0.54,6,264120,-3.591,0.34,0,audio_features,spotify:track:7ooVEVJp4yECVnTrYWCKfw
0.887,0.166,104.046,0.0991,0.000303,0.0368,4,0.598,10,222667,-5.371,0.384,0,audio_features,spotify:track:1vo1kaYzGxtq5uGVyzos9E
0.945,0.309,84.996,0.0695,0.0601,0.0,4,0.599,5,179240,-4.604,0.676,1,audio_features,spotify:track:0R7KP4GlUebdefGw2Sw9eh
0.896,0.285,79.966,0.0662,0.000108,0.416,4,0.394,11,315987,-5.396,0.239,0,audio_features,spotify:track:6p2iiGV6iIqFdFrPz1Ktbx
0.96,0.109,126.02,0.07,0.00169,0.000997,4,0.657,5,186067,-3.524,0.567,0,audio_features,spotify:track:5bU4KX47KqtDKKaLM4QCzh
0.738,0.171,79.951,0.0463,0.00955,2.06e-05,1,0.362,7,169784,-8.411,0.141,0,audio_features,spotify:track:4diKCx2EUg4CGvDTyCan5H
0.882,0.283,85.508,0.0795,0.00057,0.111,4,0.264,7,390579,-4.362,0.766,1,audio_features,spotify:track:763LDHO3wYOI7GzXS7uBwU
0.838,0.07,117.454,0.0323,0.0206,0.000662,4,0.527,3,255573,-6.013,0.721,1,audio_features,spotify:track:4PtZE0h5oyPhCtPjg3NeYQ
0.782,0.0822,81.794,0.04,0.0446,0.00355,4,0.224,6,254400,-7.065,0.267,1,audio_features,spotify:track:6HnZsLUDrG3HTSbh8sq2u3
0.318,0.117,96.451,0.0239,0.402,0.0,4,0.5,8,194040,-11.016,0.226,1,audio_features,spotify:track:1szW8tOoDoLECq1ohwMuZr
0.878,0.139,147.385,0.0553,0.000594,0.559,4,0.419,7,264800,-6.352,0.666,1,audio_features,spotify:track:2M5WTwqnkyz7bW6P1CiD6q
