energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.593,0.308,73.609,0.193,0.299,0.001,4,0.593,10,209667,-8.443,0.161,1,audio_features,spotify:track:7tAyoTnr66zdkUsg8XzSmd
0.564,0.0966,120.967,0.254,0.0257,0.0,4,0.828,7,205867,-7.084,0.467,1,audio_features,spotify:track:6bGwloiyyHXwFZ4yV1zjqR
0.655,0.157,120.019,0.278,0.113,0.000378,4,0.83,7,198640,-9.948,0.521,1,audio_features,spotify:track:6M3RWxZ2aRapomSbsy5Zvl
0.692,0.349,120.255,0.347,0.0591,6.96e-05,4,0.553,1,242493,-8.786,0.331,1,audio_features,spotify:track:6fd0hfSveLlNptY3I13UsT
0.734,0.0787,163.847,0.284,0.0754,0.0,4,0.68,5,221173,-6.771,0.757,1,audio_features,spotify:track:610xX8mO0xhnEIgTZpbBoZ
0.51,0.345,76.045,0.211,0.106,6.42e-05,4,0.654,9,216587,-7.808,0.31,1,audio_features,spotify:track:1cwytvoduxCstpvvLVaonu
0.766,0.463,61.769,0.208,0.232,1.74e-06,4,0.522,1,262520,-7.844,0.189,1,audio_features,spotify:track:2vAwockUBNYExCTm7tWBON
0.481,0.101,119.997,0.0469,0.000379,0.773,4,0.765,11,237554,-8.877,0.381,0,audio_features,spotify:track:6Q1tDLDM6lfBSy9x8XjoRA
0.848,0.0723,130.011,0.0407,7.61e-06,0.65,4,0.547,1,165604,-6.622,0.649,1,audio_features,spotify:track:0wydxbEaB3KSKJstJVhTG5
0.65,0.065,130.002,0.0737,0.00118,0.848,4,0.792,0,149186,-8.696,0.966,1,audio_features,spotify:track:4SaCDCYdgL6Nw7mdORj6jt
0.556,0.0649,99.998,0.0825,0.000304,0.871,4,0.688,1,198272,-7.847,0.406,0,audio_features,spotify:track:4MjGxmNJ1CdBDbxtmZiw1y
0.815,0.112,140.158,0.0313,0.00799,0.081,4,0.726,11,209560,-5.886,0.462,1,audio_features,spotify:track:3lIxtCaROdRDuTnNBDm3n2
0.666,0.391,133.062,0.207,0.0872,0.0,4,0.776,0,151400,-8.463,0.51,1,audio_features,spotify:track:5ZYBczat60p8a2Fnenour4
0.811,0.132,155.983,0.207,0.0102,1.3e-05,4,0.455,6,374960,-6.819,0.248,0,audio_features,spotify:track:0ije0AlpdOcKa8oXohEDcd
0.935,0.386,129.946,0.258,0.00715,0.0364,4,0.646,10,206832,-4.155,0.371,0,audio_features,spotify:track:5NmZyiFVxnOnR9oj6ZqKYJ
0.931,0.556,97.02,0.0624,3.53e-05,0.956,4,0.441,7,232947,-3.491,0.207,0,audio_features,spotify:track:5DzMRynZilaNPx4epDKqM2
0.74,0.128,118.001,0.0405,0.0223,0.288,4,0.634,8,304423,-4.937,0.064,1,audio_features,spotify:track:3ma4i9RZ4CaQ7UE01XVMZQ
0.768,0.153,161.935,0.0297,0.00634,0.00154,4,0.527,0,331744,-8.28,0.649,1,audio_features,spotify:track:4jEy6jXHWcOKXsVfIV5lR2
0.728,0.118,102.991,0.0335,0.000564,0.096,4,0.58,8,209709,-5.956,0.521,1,audio_features,spotify:track:4az5cxWbquOT0ScNy9XTZ6
0.913,0.665,120.076,0.0513,9.94e-06,0.867,4,0.524,5,256000,-3.898,0.343,1,audio_features,spotify:track:53Kf1deIW8fcRaulTzQTRO
0.866,0.139,126.983,0.0347,0.000818,0.585,4,0.623,6,232302,-3.832,0.221,1,audio_features,spotify:track:6ewBazOXzfue9WpQgApJld
0.84,0.378,131.02,0.0822,0.00018,0.0876,4,0.598,1,256489,-4.232,0.16,1,audio_features,spotify:track:3S1CaH7ArTb8eZsOIcv7IL
0.884,0.229,116.101,0.0659,0.000113,0.923,4,0.315,4,337436,-1.475,0.0776,0,audio_features,spotify:track:7E9fSFXKvz0rEN3Emw2rwz
0.992,0.194,128.027,0.135,2.24e-05,0.878,4,0.507,8,287813,-0.742,0.08,1,audio_features,spotify:track:0HcYKqHk5Gqju4HHqxApGH
