energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.941,0.23,96.886,0.0858,0.000481,0.0,4,0.506,7,212080,-5.004,0.308,0,audio_features,spotify:track:4zYTOBlMea1zloAJzTnxlS
0.998,0.292,110.442,0.24,0.0016,0.053,4,0.443,1,166773,-4.07,0.0415,1,audio_features,spotify:track:4oxigLyUxXUmskduZPzaDG
0.989,0.318,119.943,0.163,0.000187,0.106,4,0.516,1,238053,-4.527,0.0737,1,audio_features,spotify:track:5uq5yjBJzneReMpKTJDWLw
0.86,0.259,128.033,0.0609,0.000208,9.02e-06,4,0.573,4,288773,-3.708,0.616,0,audio_features,spotify:track:4okxtHbJHA8t1Hbojj9xr3
0.981,0.159,154.975,0.258,4.52e-05,0.869,4,0.33,11,281160,-5.012,0.0394,1,audio_features,spotify:track:0Jt0CJbsg3qBqoUl8rYeNm
0.976,0.144,142.63,0.23,0.0002,2.13e-06,3,0.332,3,186933,-4.375,0.0847,0,audio_features,spotify:track:0N10gGHn8GYH8QYyFFnqRa
0.983,0.323,154.765,0.193,1.69e-05,2.31e-05,4,0.292,10,207733,-4.156,0.0378,1,audio_features,spotify:track:090jDNgdEVQEv4AsUANKSK
0.721,0.166,115.036,0.0556,0.00459,0.862,3,0.274,7,506763,-8.281,0.0383,1,audio_features,spotify:track:4COR2ZPEyUn0lsbAouRWxA
0.846,0.302,168.466,0.053,0.000981,0.0,3,0.273,2,189770,-4.16,0.574,1,audio_features,spotify:track:3FOxQ6UYJOmJ1ynG17lw8V
0.693,0.234,132.861,0.121,0.000288,0.126,4,0.315,6,220520,-5.955,0.462,1,audio_features,spotify:track:266sqFCEJ4Yx9CX6ppUgVW
0.985,0.112,145.121,0.226,0.000219,0.0,4,0.454,6,212947,-4.792,0.178,1,audio_features,spotify:track:2lxdChJ10PPvAbtDSEukZP
0.961,0.17,175.122,0.0591,2.08e-05,0.21,4,0.408,8,252760,-5.54,0.346,1,audio_features,spotify:track:0C24pXCtlYHY3Dibw1CCIK
0.969,0.074,139.255,0.093,0.000175,0.022,4,0.325,5,189878,-3.481,0.316,1,audio_features,spotify:track:3n3FKYskxltScdqTn6CJem
