energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.764,0.263,123.873,0.0315,0.0222,0.00932,4,0.683,7,269000,-7.89,0.738,0,audio_features,spotify:track:33iAwBBb962LFQei4J0b0b
0.919,0.178,126.57,0.0572,0.0441,9.19e-06,4,0.594,2,236560,-6.387,0.529,1,audio_features,spotify:track:2QyGSbGdT9suKuDKwnjwH9
0.477,0.0237,119.975,0.0808,0.0181,2.08e-06,4,0.949,0,148193,-9.205,0.628,1,audio_features,spotify:track:3tYFoEmZ42bTUFMs266Ue0
0.869,0.0678,109.902,0.037,0.0116,0.173,4,0.596,10,238733,-11.97,0.944,1,audio_features,spotify:track:05wIrZSwuaVWhcv5FfqeH0
0.799,0.055,108.382,0.0598,0.0821,0.00154,4,0.644,4,246573,-10.856,0.889,0,audio_features,spotify:track:3Pu3IChaAoa5EjgUBv5F6x
0.976,0.182,113.357,0.0428,0.0262,2.41e-05,4,0.695,8,212400,-6.982,0.937,1,audio_features,spotify:track:0FutrWIUM5Mg3434asiwkp
0.452,0.339,77.038,0.0454,0.277,2.33e-06,5,0.821,7,127627,-10.215,0.884,1,audio_features,spotify:track:23V08GxMeaZNSf8Gy6KF6t
0.294,0.0706,108.527,0.0537,0.837,0.0,4,0.618,9,147400,-13.03,0.63,1,audio_features,spotify:track:0qwzC38XHdo8nmulMRLbQn
0.923,0.314,161.704,0.0606,0.0364,0.0331,4,0.547,1,91733,-6.848,0.854,1,audio_features,spotify:track:0KrmvQ1HsaWgeWSh8Cdb0o
0.429,0.617,80.325,0.321,0.915,0.0,4,0.749,2,84827,-8.908,0.954,1,audio_features,spotify:track:0gdLTqxAY4DDUQxXzmwj1z
0.616,0.105,75.019,0.0509,0.208,1.72e-05,4,0.679,1,222720,-9.456,0.766,1,audio_features,spotify:track:2610Dt6LdipNXqm9W4QUhy
0.902,0.0928,84.412,0.054,0.018,0.00125,4,0.573,6,225280,-7.638,0.876,0,audio_features,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L
0.577,0.148,91.98,0.0365,0.186,0.0,4,0.676,10,241600,-12.031,0.934,1,audio_features,spotify:track:48O0GrGJWml3DzHhC5sJ7a
0.367,0.0818,120.175,0.0328,0.55,1.38e-05,4,0.584,6,176293,-9.638,0.588,0,audio_features,spotify:track:1JO1xLtVc8mWhIoE3YaCL0
0.524,0.482,142.855,0.273,0.596,0.0432,4,0.683,7,127826,-7.483,0.82,0,audio_features,spotify:track:1H6NscSNlknTI09CcC5tHp
0.647,0.0972,122.771,0.0299,0.757,3.08e-06,4,0.757,2,169627,-10.264,0.97,1,audio_features,spotify:track:4GAI8BxeMgrvhZNEU59UfR
0.742,0.339,138.591,0.0454,0.218,0.0,4,0.552,0,125827,-7.963,0.751,1,audio_features,spotify:track:1udKn1oNKYQSQ9OmiIWCMu
0.809,0.183,125.941,0.0302,0.114,0.000521,4,0.697,9,214827,-8.197,0.98,1,audio_features,spotify:track:5nNmj1cLH3r4aA4XDJ2bgY
0.584,0.187,98.293,0.0318,0.466,0.00195,4,0.674,8,180893,-8.204,0.96,1,audio_features,spotify:track:0PGwM5vdr5fMejx0IIAYXj
0.512,0.243,104.826,0.0427,0.37,0.0,4,0.592,7,176067,-6.27,0.565,1,audio_features,spotify:track:0Vpswx5knuuXW8HmNK1LrT
0.874,0.323,166.54,0.0706,0.781,0.000311,4,0.54,10,161293,-6.099,0.969,1,audio_features,spotify:track:2XGHdmjsumZRkaL8LhBb1e
